"CODIGO","DESCRIPCIO","CODIGO_ASO","RUBRO","CODIGO_DE_","GRABADO","ALICUOTA","PROVEEDOR","COSTO","MONEDA","FECHA_ALTA","MATERIAL","ADUANA","ORIGEN","DESPACHO","BOX","TIPO","FECHA_ULT_","FECHA_ULT_","CANTIDAD_U","STOCK","UNIDAD_DE_","SUBRUBRO","UNIDADES_P","CANTIDAD_D","FORMA_DE_V","ESTADO","STOCK_MINI","STOCK_MIN2","BONIFICACI","BONIFICAC2","BONIFICAC3","BONIFICAC4","PRECIO_DE_","PRECIO_DE2","PRECIO_DE3","PRECIO_DE4","MARGEN","BASE_COSTO","PRECIO_UNI","LISTA_FORZ","LISTA_FOR2","INCLUIRLIS","COLUMNAS","LOCAL_DE_V","UNIDAD_VEN","ACTUALIZAC","MODELO","MANGA","CIERRE","TELA","COLOR","TALLE","TALLE_EN_L","PROMEDIO","MINIMO_VTA","MULTIPLO_V","BARRA_PACK"
5321,GONDOLA 2 BOLSILLOS,5321,1,0,TRUE,21,0,7.6, $,2005-12-22,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 166995F,,2,31/01/06,2006-01-31,537,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,07/02/06 10:06,,,,,,,,,0,0,0
5329,BAGUETTE,5329,1,0,TRUE,21,,5.7, $,2005-12-22,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,22/02/07,2007-02-22,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,21/02/07 15:43,,,,,,,,,0,0,0
5345,CARTERA DIVISIONES,5345,1,0,TRUE,21,,7.3, $,2005-12-22,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 166995F,,2,31/01/06,2006-01-31,591,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,07/02/06 10:05,,,,,,,,,0,0,0
5406,GONDOLA DOS GUANTERAS,5406,22,0,TRUE,21,,6.8, $,2005-12-22,99,17-04-08 BS AS,CHINA,08 001 IC04 069988M,,2,22/04/08,2008-04-22,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/02/08 11:34,,,,,,,,,0,0,0
5415,NUDOS MANIJA LARGA TRES DIVI,5415,1,0,TRUE,21,,5.7, $,2005-12-22,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,02/11/09,2009-11-02,8,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,21/02/07 15:50,,,,,,,,,0,0,0
5416,NUDOS MEDIANA TRES DIVI,5416,38,0,TRUE,21,,6.3, $,2005-12-22,99,17-10-08 BS AS,CHINA,08001IC04 189736 G,,2,27/10/08,2008-10-27,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,08/08/08 16:59,,,,,,,,,0,0,0
5428,CARTERA DOS MANIJAS,5428,1,0,TRUE,21,,6.9, $,2005-12-22,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,22/02/07,2007-02-22,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,25/01/07 12:02,,,,,,,,,0,0,0
5430,CARTERA UNA MANIJA,5430,1,0,TRUE,21,,6.7, $,2005-12-22,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,02/11/09,2009-11-02,20,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,25/01/07 12:02,,,,,,,,,0,0,0
50032,DOS DIV BOLSILLO FTE CHICO,50032,1,0,TRUE,21,,6.8, $,2005-12-22,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 166995F,,2,31/01/06,2006-01-31,791,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,07/02/06 10:17,,,,,,,,,0,0,0
50035,BOLSO DOS BOLSILLOS CHICO,50035,1,0,TRUE,21,,5.9, $,2005-12-22,99,14-06-07 BS AS,CHINA,07001 IC04091998H,,2,15/06/07,2007-06-15,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,15/05/07 12:36,,,,,,,,,0,0,0
